Date,Open,High,Low,Close,Volume,Adj Close,Return
2009-12-30,25.0,25.0,24.6,24.6,892200.0,17.1624,
2010-01-04,24.7,25.25,24.6,25.0,1599900.0,17.4415,0.016262
2010-01-05,25.0,25.25,24.6,24.8,2702400.0,17.302,-0.007998
2010-01-06,24.8,25.0,24.6,24.7,1915800.0,17.2322,-0.004034
2010-01-07,24.7,24.7,24.1,24.3,1854000.0,16.9531,-0.016196
2010-01-08,24.3,24.6,24.2,24.3,715000.0,16.9531,0.0
2010-01-11,24.4,24.5,23.8,23.9,3739000.0,16.6741,-0.016457
2010-01-12,24.0,24.2,23.8,24.0,3164700.0,16.7438,0.00418
2010-01-13,24.0,24.2,23.9,24.1,6852900.0,16.8136,0.004169
2010-01-14,24.4,25.0,24.3,24.3,6104100.0,16.9531,0.008297
2010-01-15,24.4,24.7,24.2,24.2,1438700.0,16.8834,-0.004111
2010-01-18,24.4,24.6,24.3,24.5,674300.0,17.0927,0.012397
2010-01-19,24.3,24.8,24.3,24.8,2773400.0,17.302,0.012245
2010-01-20,24.9,24.9,24.2,24.5,3401500.0,17.0927,-0.012097
2010-01-21,24.4,24.4,23.8,24.0,1379200.0,16.7438,-0.020412
2010-01-22,24.0,24.0,23.8,24.0,4290000.0,16.7438,0.0
2010-01-25,23.8,24.0,23.8,23.9,741300.0,16.6741,-0.004163
2010-01-26,23.9,24.1,23.7,23.8,2369800.0,16.6043,-0.004186
2010-01-27,23.8,24.2,23.8,23.8,2488800.0,16.6043,0.0
2010-01-28,24.0,24.3,23.9,24.2,3550300.0,16.8834,0.016809
2010-01-29,24.0,24.1,23.9,24.0,6182500.0,16.7438,-0.008268
2010-02-01,23.8,23.9,23.8,23.8,478700.0,16.6043,-0.008331
2010-02-02,24.0,24.0,23.8,23.8,1038500.0,16.6043,0.0
2010-02-03,24.0,24.0,23.8,23.9,505700.0,16.6741,0.004204
2010-02-04,23.9,23.9,23.4,23.6,2088800.0,16.4648,-0.012552
2010-02-05,23.3,23.4,22.8,23.0,1373400.0,16.0462,-0.025424
2010-02-08,22.7,22.7,21.9,22.6,3521000.0,15.7671,-0.017394
2010-02-09,22.2,22.3,21.9,22.0,4009000.0,15.3485,-0.026549
2010-02-10,22.1,22.1,21.9,22.0,10100000.0,15.3485,0.0
2010-02-11,22.1,22.5,22.1,22.5,1873500.0,15.6973,0.022725
2010-02-12,22.5,23.1,22.3,22.9,3768800.0,15.9764,0.01778
2010-02-15,22.9,23.2,22.6,22.6,1939900.0,15.7671,-0.013101
2010-02-16,22.5,22.8,22.3,22.4,860700.0,15.6276,-0.008848
2010-02-17,22.7,23.1,22.6,23.0,3819500.0,16.0462,0.026786
2010-02-18,23.1,23.1,22.6,22.8,2103900.0,15.9066,-0.0087
2010-02-19,22.7,23.6,22.6,23.5,2964300.0,16.395,0.030704
2010-02-22,23.9,23.9,23.4,23.7,2339500.0,16.5345,0.008509
2010-02-23,23.5,23.8,23.4,23.4,1584500.0,16.3252,-0.012658
2010-02-24,23.4,23.4,22.9,23.1,2545100.0,16.1159,-0.012821
2010-02-25,23.2,23.2,22.7,22.8,2850000.0,15.9066,-0.012987
2010-02-26,22.8,23.1,22.8,23.0,1560200.0,16.0462,0.008776
2010-03-02,23.1,23.4,23.0,23.1,1289900.0,16.1159,0.004344
